;NR_ELEICAO;SG_PARTIDO;NR_TURNO;VR_GASTO;QT_VOTOS_NOMINAIS_VALIDOS;GASTO_POR_VOTO
0;3;AGIR;True;;106;
1;4;AGIR;True;;8794;
2;1;AVANTE;True;680,1;28074;0,02422526180807865
3;2;AVANTE;True;10186,47;15794;0,6449582119792325
4;3;AVANTE;True;297361,57;103575;2,870978228336954
5;4;AVANTE;True;60280,73;17970;3,3545203116304956
6;2;CIDADANIA;True;1777588,2;133755;13,28988224739262
7;3;CIDADANIA;True;1973814,84;221224;8,92224550681662
8;4;CIDADANIA;True;312526,71;94852;3,29488793067094
9;1;DC;True;171348,1;8041;21,309302325581395
10;2;DC;True;223844,27;570;392,70924561403507
11;3;DC;True;366020,68;3348;109,32517323775389
12;4;DC;True;;7593;
13;1;DEM;True;1451819,91;348672;4,163855744080396
14;2;DEM;True;2599251,23;338816;7,6715716790234225
15;1;MDB;True;14037475,48;4681408;2,9985584422464355
16;2;MDB;True;18620821,94;2063688;9,023080010156574
17;3;MDB;True;13914285,92;1188059;11,711780239870242
18;4;MDB;True;4852743,74;2118249;2,290922238131589
19;1;NOVO;True;1238048,95;793472;1,5602931798475559
20;2;NOVO;True;1355278,83;89601;15,125710985368467
21;3;NOVO;True;1217138,49;471045;2,5839112823615578
22;4;NOVO;True;1011701,21;176167;5,742853145027161
23;1;PATRI;True;;19849;
24;2;PATRIOTA;True;110074,23;64103;1,7171463114050824
25;3;PATRIOTA;True;74735,04;47519;1,5727401670910581
26;1;PC do B;True;2741326,8;1129161;2,4277554750828267
27;2;PC do B;True;3050987,4;281483;10,838975710788928
28;3;PC do B;True;2370747,85;181077;13,092484688834032
29;4;PC do B;True;309083,91;50850;6,078346312684365
30;1;PCB;True;50558,04;27384;1,846262050832603
31;2;PCB;True;11154,2;1797;6,207122982749026
32;3;PCB;True;4769,15;9342;0,510506315564119
33;4;PCB;True;;41;
34;2;PCO;True;;190;
35;4;PCO;True;;449;
36;1;PDT;True;4698145,01;1470206;3,195569199146242
37;2;PDT;True;5654412,51;1304366;4,334989190150617
38;3;PDT;True;12789383,67;851704;15,01623060358998
39;4;PDT;True;1844274,99;1307367;1,4106788606412737
40;1;PHS;True;2140,6;5651;0,3788002123517961
41;2;PL;True;2235613,2;262206;8,52617102583465
42;3;PL;True;8784128,49;3411747;2,57467171217561
43;4;PL;True;1855491,19;1452667;1,277299745915616
44;1;PMB;True;;6677;
45;4;PMB;True;;1564;
46;1;PMN;True;;31088;
47;1;PODE;True;;189068;
48;2;PODE;True;1234039,39;53817;22,930289499600494
49;3;PODE;True;12704950,24;508341;24,992967791305443
50;4;PODE;True;1365190,79;266810;5,1167152280649155
51;1;PP;True;8783127,31;3434777;2,557117189849589
52;2;PP;True;21348207,99;2103794;10,14748021431756
53;3;PP;True;8910495,4;1454482;6,126232844407838
54;4;PP;True;5104683,86;2108230;2,4213125987202537
55;1;PPL;True;75183,76;34343;2,1892018752001863
56;1;PPS;True;;457435;
57;1;PR;True;;352605;
58;1;PRB;True;;331794;
59;4;PRD;True;371158,05;112894;3,287668520913423
60;1;PROS;True;212118,9;75511;2,8091125796241605
61;2;PROS;True;208242,28;6074;34,28420810009878
62;3;PROS;True;519279,55;778;667,4544344473007
63;1;PRP;True;;9082;
64;2;PRTB;True;228997,0;122401;1,8708752379474023
65;3;PRTB;True;246835,45;4745;52,020115911485775
66;4;PRTB;True;8580,3;7373;1,163746100637461
67;1;PSB;True;3946800,43;2362205;1,6708119871052682
68;2;PSB;True;11376613,87;557483;20,40710455744839
69;3;PSB;True;9685148,28;393936;24,58558821737541
70;4;PSB;True;1375542,46;288034;4,775625308123346
71;1;PSC;True;224130,0;62732;3,57281770069502
72;2;PSC;True;297772,61;39319;7,573249828327271
73;3;PSC;True;1523091,82;261809;5,817568609176919
74;1;PSD;True;3277337,71;303058;10,814226022741522
75;2;PSD;True;5405477,73;412046;13,118626876610865
76;3;PSD;True;6650300,61;1415464;4,6983184383354155
77;4;PSD;True;2235282,6;429804;5,2007021805288
78;1;PSDB;True;3893798,85;2708708;1,4375114814885916
79;2;PSDB;True;8551976,5;982169;8,7072352110482
80;3;PSDB;True;14351454,52;2465673;5,820501956261029
81;4;PSDB;True;1939539,45;1034518;1,874824265986672
82;1;PSL;True;197693,48;2283934;0,08655831560806924
