;SG_PARTIDO;NR_ELEICAO;VR_RECEITA;VR_GASTO
0;AGIR;1;4576,98;5178,57
1;AVANTE;1;2047,5;680,1
2;CIDADANIA;1;863272,63;852989,66
3;DC;1;171285,62;171348,1
4;DEM;1;1368301,19;1451819,91
5;MDB;1;13714132,17;14037475,48
6;MOBILIZA;1;12836,01;10000,0
7;NOVO;1;1235089,26;1238048,95
8;PATRIOTA;1;10770,0;6849,57
9;PC do B;1;2707260,11;2741326,8
10;PCB;1;57634,3;50558,04
11;PDT;1;4825535,73;4698145,01
12;PHS;1;6019,62;2140,6
13;PL;1;53467,6;34544,73
14;PODE;1;1400,0;
15;PP;1;8217903,46;8783127,31
16;PPL;1;85824,81;75183,76
17;PROS;1;202368,6;212118,9
18;PRP;1;9137,38;
19;PSB;1;4368488,31;3946800,43
20;PSC;1;424398,79;224130,0
21;PSD;1;3539029,3000000003;3277337,71
22;PSDB;1;3847892,39;3893798,85
23;PSL;1;219364,17;197693,48
24;PSOL;1;1750960,45;1756513,88
25;PSTU;1;149310,76;72771,7
26;PT;1;8264817,67;15647906,48
27;PTB;1;5975450,74;6536740,84
28;PV;1;963216,39;963219,12
29;REDE;1;219645,74;215388,79
30;REPUBLICANOS;1;2909720,08;2387297,88
31;SDD;1;465074,55;436663,59
32;AGIR;2;9483,94;9241,56
33;AVANTE;2;21103,42;10186,47
34;CIDADANIA;2;1809668,1;1777588,2
35;DC;2;223844,38;223844,27
36;DEM;2;2741100,18;2599251,23
37;MDB;2;18479012,74;18620821,94
38;MOBILIZA;2;2400,0;236,01
39;NOVO;2;1544931,56;1355278,83
40;PATRIOTA;2;100844,91;110074,23
41;PC do B;2;3073802,3000000003;3050987,4
42;PCB;2;19930,78;11154,2
43;PDT;2;5826556,35;5654412,51
44;PHS;2;2845,44;8250,18
45;PL;2;2268783,32;2235613,2
46;PODE;2;1239957,74;1234039,39
47;PP;2;20497904,21;21348207,99
48;PROS;2;217949,8;208242,28
49;PRP;2;1625,0;
50;PRTB;2;248512,61;228997,0
51;PSB;2;11931494,79;11376613,87
52;PSC;2;207569,69;297772,61
53;PSD;2;5496113,33;5405477,73
54;PSDB;2;9093412,7;8551976,5
55;PSL;2;7524175,98;1985418,31
56;PSOL;2;4957889,2;5021784,59
57;PSTU;2;79506,0;73821,97
58;PT;2;10238352,8;17115749,38
59;PTB;2;12811732,62;12452675,1
60;PV;2;1051475,33;234785,69
61;REDE;2;250875,6;262854,86
62;REPUBLICANOS;2;3059050,43;3279153,92
63;SDD;2;1802441,84;1549278,92
64;UP;2;40006,14;29066,47
65;AVANTE;3;376414,69;297361,57
66;CIDADANIA;3;1970818,32;1973814,84
67;DC;3;366220,68;366020,68
68;DEM;3;869845,28;1067273,85
69;MDB;3;9481530,75;13914285,92
70;NOVO;3;1026890,68;1217138,49
71;PATRIOTA;3;84928,0;74735,04
72;PC do B;3;2308411,74;2370747,85
73;PCB;3;32997,62;4769,15
74;PDT;3;12845132,08;12789383,67
75;PL;3;8817418,88;8784128,49
76;PODE;3;12722803,4;12704950,24
77;PP;3;9954329,34;8910495,4
78;PROS;3;566944,8;519279,55
79;PRTB;3;261990,17;246835,45
80;PSB;3;9182887,19;9685148,28
81;PSC;3;1526054,96;1523091,82
82;PSD;3;6869916,15;6650300,61
83;PSDB;3;14826576,72;14351454,52
84;PSL;3;1951214,72;1474699,22
85;PSOL;3;7736543,15;7876756,77
86;PSTU;3;92250,5;103158,53
87;PT;3;8145701,01;12753992,46
88;PTB;3;10466121,75;10577312,06
89;PV;3;1000062,5;1001494,48
90;REDE;3;5567,679999999999;14014,24
91;REPUBLICANOS;3;6329871,6;5936390,89
92;SDD;3;1323682,19;1263925,44
93;UNIÃO;3;6695551,88;6870699,71
94;UP;3;151538,27;154410,58
95;AVANTE;4;60466,61;60280,73
96;CIDADANIA;4;326079,95;312526,71
97;MDB;4;5826406,89;4852743,74
98;NOVO;4;651326,49;1011701,21
99;PATRIOTA;4;3270,0;6989,23
100;PC do B;4;358644,39;309083,91
101;PDT;4;2366469,6;1844274,99
102;PL;4;5046704,39;1855491,19
103;PODE;4;5136569,69;1365190,79
104;PP;4;5748388,97;5104683,86
105;PRD;4;342195,04;371158,05
106;PRTB;4;11000,0;8580,3
107;PSB;4;8665117,120000001;1375542,46
108;PSC;4;6,0;2057,52
109;PSD;4;2344619,69;2235282,6
110;PSDB;4;3664439,01;1939539,45
111;PSOL;4;4787722,02;1470386,76
112;PSTU;4;47399,88;50279,44
113;PT;4;3923556,17;4296863,65
114;PTB;4;252881,4;253377,42
115;PV;4;45715,24;7514,0
116;REDE;4;495158,01;62794,0
117;REPUBLICANOS;4;3259988,42;1315746,35
118;SDD;4;171106,31;189503,95
119;UNIÃO;4;1358476,86;710795,1900000001
120;UP;4;164831,58000000002;67293,62
