"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"TP_AGREMIACAO";"NR_PARTIDO";"SG_PARTIDO";"NM_PARTIDO";"NR_FEDERACAO";"NM_FEDERACAO";"SG_FEDERACAO";"DS_COMPOSICAO_FEDERACAO";"SQ_COLIGACAO";"NM_COLIGACAO";"DS_COMPOSICAO_COLIGACAO";"ST_VOTO_EM_TRANSITO";"QT_VOTOS_LEGENDA_VALIDOS";"QT_VOTOS_NOM_CONVR_LEG_VALIDOS";"QT_TOTAL_VOTOS_LEG_VALIDOS";"QT_VOTOS_NOMINAIS_VALIDOS";"QT_VOTOS_LEGENDA_ANUL_SUBJUD";"QT_VOTOS_NOMINAIS_ANUL_SUBJUD"
"30/09/2024";"11:03:29";2020;2;"Eleição Ordinária";1;426;"Eleições Municipais 2020";"15/11/2020";"M";"RS";"86223";"BARÃO";86223;"BARÃO";152;13;"Vereador";"Partido isolado";15;"MDB";"Movimento Democrático Brasileiro";-1;"#NULO#";"#NULO#";"#NULO#";210000134684;"PARTIDO ISOLADO";"MDB";"N";9;0;9;718;0;0
"30/09/2024";"11:03:29";2020;2;"Eleição Ordinária";1;426;"Eleições Municipais 2020";"15/11/2020";"M";"RS";"85871";"CANGUÇU";85871;"CANGUÇU";14;13;"Vereador";"Partido isolado";45;"PSDB";"Partido da Social Democracia Brasileira";-1;"#NULO#";"#NULO#";"#NULO#";210000075199;"PARTIDO ISOLADO";"PSDB";"N";92;0;92;1871;0;0
"30/09/2024";"11:03:29";2020;2;"Eleição Ordinária";1;426;"Eleições Municipais 2020";"15/11/2020";"M";"RS";"89591";"VERANÓPOLIS";89591;"VERANÓPOLIS";88;13;"Vereador";"Partido isolado";11;"PP";"PROGRESSISTAS";-1;"#NULO#";"#NULO#";"#NULO#";210000144991;"PARTIDO ISOLADO";"PP";"N";52;0;52;1629;0;0
"30/09/2024";"11:03:29";2020;2;"Eleição Ordinária";1;426;"Eleições Municipais 2020";"15/11/2020";"M";"RS";"86835";"GRAVATAÍ";86835;"GRAVATAÍ";173;11;"Prefeito";"Partido isolado";50;"PSOL";"Partido Socialismo e Liberdade";-1;"#NULO#";"#NULO#";"#NULO#";210000068317;"PARTIDO ISOLADO";"PSOL";"N";0;0;0;1634;0;0
"30/09/2024";"11:03:29";2020;2;"Eleição Ordinária";1;426;"Eleições Municipais 2020";"15/11/2020";"M";"RS";"85561";"SALDANHA MARINHO";85561;"SALDANHA MARINHO";115;13;"Vereador";"Partido isolado";11;"PP";"PROGRESSISTAS";-1;"#NULO#";"#NULO#";"#NULO#";210000094883;"PARTIDO ISOLADO";"PP";"N";45;0;45;1143;0;0
"30/09/2024";"11:03:29";2020;2;"Eleição Ordinária";1;426;"Eleições Municipais 2020";"15/11/2020";"M";"RS";"89176";"SOBRADINHO";89176;"SOBRADINHO";53;13;"Vereador";"Partido isolado";13;"PT";"Partido dos Trabalhadores";-1;"#NULO#";"#NULO#";"#NULO#";210000053504;"PARTIDO ISOLADO";"PT";"N";42;0;42;500;0;0
"30/09/2024";"11:03:29";2020;2;"Eleição Ordinária";1;426;"Eleições Municipais 2020";"15/11/2020";"M";"RS";"88625";"BARRA DO QUARAÍ";88625;"BARRA DO QUARAÍ";57;13;"Vereador";"Partido isolado";12;"PDT";"Partido Democrático Trabalhista";-1;"#NULO#";"#NULO#";"#NULO#";210000062676;"PARTIDO ISOLADO";"PDT";"N";26;0;26;604;0;0
"30/09/2024";"11:03:29";2020;2;"Eleição Ordinária";1;426;"Eleições Municipais 2020";"15/11/2020";"M";"RS";"85219";"ARROIO DOS RATOS";85219;"ARROIO DOS RATOS";50;13;"Vereador";"Partido isolado";11;"PP";"PROGRESSISTAS";-1;"#NULO#";"#NULO#";"#NULO#";210000059212;"PARTIDO ISOLADO";"PP";"N";58;0;58;1978;0;0
"30/09/2024";"11:03:29";2020;2;"Eleição Ordinária";1;426;"Eleições Municipais 2020";"15/11/2020";"M";"RS";"87297";"LAJEADO";87297;"LAJEADO";29;13;"Vereador";"Partido isolado";19;"PODE";"Podemos";-1;"#NULO#";"#NULO#";"#NULO#";210000070533;"PARTIDO ISOLADO";"PODE";"N";13;0;13;757;0;0
"30/09/2024";"11:03:29";2020;2;"Eleição Ordinária";1;426;"Eleições Municipais 2020";"15/11/2020";"M";"RS";"85405";"PROTÁSIO ALVES";85405;"PROTÁSIO ALVES";75;13;"Vereador";"Partido isolado";11;"PP";"PROGRESSISTAS";-1;"#NULO#";"#NULO#";"#NULO#";210000098864;"PARTIDO ISOLADO";"PP";"N";38;0;38;465;0;0
