;NR_TURNO;SG_PARTIDO;NR_ELEICAO;QT_VOTOS_NOMINAIS_VALIDOS
0;1;AGIR;3;106
1;1;AGIR;4;8794
2;1;AVANTE;1;28074
3;1;AVANTE;2;15794
4;1;AVANTE;3;103575
5;1;AVANTE;4;17970
6;1;CIDADANIA;2;133755
7;1;CIDADANIA;3;221224
8;1;CIDADANIA;4;94852
9;1;DC;1;8041
10;1;DC;2;570
11;1;DC;3;3348
12;1;DC;4;7593
13;1;DEM;1;348672
14;1;DEM;2;338816
15;1;MDB;1;4681408
16;1;MDB;2;2063688
17;1;MDB;3;1188059
18;1;MDB;4;2118249
19;1;NOVO;1;793472
20;1;NOVO;2;89601
21;1;NOVO;3;471045
22;1;NOVO;4;176167
23;1;PATRI;1;19849
24;1;PATRIOTA;2;64103
25;1;PATRIOTA;3;47519
26;1;PC do B;1;1129161
27;1;PC do B;2;281483
28;1;PC do B;3;181077
29;1;PC do B;4;50850
30;1;PCB;1;27384
31;1;PCB;2;1797
32;1;PCB;3;9342
33;1;PCB;4;41
34;1;PCO;2;190
35;1;PCO;4;449
36;1;PDT;1;1470206
37;1;PDT;2;1304366
38;1;PDT;3;851704
39;1;PDT;4;1307367
40;1;PHS;1;5651
41;1;PL;2;262206
42;1;PL;3;3411747
43;1;PL;4;1452667
44;1;PMB;1;6677
45;1;PMB;4;1564
46;1;PMN;1;31088
47;1;PODE;1;189068
48;1;PODE;2;53817
49;1;PODE;3;508341
50;1;PODE;4;266810
51;1;PP;1;3434777
52;1;PP;2;2103794
53;1;PP;3;1454482
54;1;PP;4;2108230
55;1;PPL;1;34343
56;1;PPS;1;457435
57;1;PR;1;352605
58;1;PRB;1;331794
59;1;PRD;4;112894
60;1;PROS;1;75511
61;1;PROS;2;6074
62;1;PROS;3;778
63;1;PRP;1;9082
64;1;PRTB;2;122401
65;1;PRTB;3;4745
66;1;PRTB;4;7373
67;1;PSB;1;2362205
68;1;PSB;2;557483
69;1;PSB;3;393936
70;1;PSB;4;288034
71;1;PSC;1;62732
72;1;PSC;2;39319
73;1;PSC;3;261809
74;1;PSD;1;303058
75;1;PSD;2;412046
76;1;PSD;3;1415464
77;1;PSD;4;429804
78;1;PSDB;1;2708708
79;1;PSDB;2;982169
80;1;PSDB;3;2465673
81;1;PSDB;4;1034518
82;1;PSL;1;2283934
83;1;PSL;2;184646
84;1;PSOL;1;435363
85;1;PSOL;2;144485
86;1;PSOL;3;570019
87;1;PSOL;4;119297
88;1;PSTU;1;46309
89;1;PSTU;2;1753
90;1;PSTU;3;17642
91;1;PSTU;4;1655
92;1;PT;1;4387256
93;1;PT;2;1017411
94;1;PT;3;5834322
95;1;PT;4;1387970
96;1;PTB;1;650155
97;1;PTB;2;759240
98;1;PTB;3;188920
99;1;PTC;1;5663
100;1;PTC;2;115
101;1;PV;1;111829
102;1;PV;2;24114
103;1;PV;3;24627
104;1;PV;4;20463
105;1;REDE;1;110367
106;1;REDE;2;23362
107;1;REDE;3;9144
108;1;REDE;4;7077
109;1;REPUBLICANOS;2;400824
110;1;REPUBLICANOS;3;3647669
111;1;REPUBLICANOS;4;587186
112;1;SOLIDARIEDADE;1;429553
113;1;SOLIDARIEDADE;2;64979
114;1;SOLIDARIEDADE;3;39762
115;1;SOLIDARIEDADE;4;24067
116;1;UNIÃO;3;511299
117;1;UNIÃO;4;412107
118;1;UP;2;1205
119;1;UP;3;1910
120;1;UP;4;2911
121;2;MDB;1;2705601
122;2;MDB;2;409537
123;2;MDB;4;406467
124;2;PC do B;2;307745
125;2;PDT;2;1007
126;2;PL;3;2767786
127;2;PL;4;272638
128;2;PP;2;54980
129;2;PSD;2;82137
130;2;PSD;4;69518
131;2;PSDB;1;3128317
132;2;PSDB;2;313723
133;2;PSDB;3;3687126
134;2;PSDB;4;193533
135;2;PT;2;161389
136;2;PT;4;405978
137;2;PTB;2;72649
138;2;UNIÃO;2;17430
